"filename", "language", "XML", "Java", "Java Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\pom.xml", "XML", 38, 0, 0, 0, 3, 41
"f:\Coding\studentmanagement\src\main\java\com\sms\StudentManagementApplication.java", "Java", 0, 2, 0, 0, 0, 2
"f:\Coding\studentmanagement\src\main\java\com\sms\config\DemoDataLoader.java", "Java", 0, 132, 0, 0, 21, 153
"f:\Coding\studentmanagement\src\main\java\com\sms\config\JwtAuthenticationFilter.java", "Java", 0, 48, 0, 0, 15, 63
"f:\Coding\studentmanagement\src\main\java\com\sms\config\SecurityConfig.java", "Java", 0, 8, 0, -2, 1, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\config\WebSocketConfig.java", "Java", 0, 19, 0, 0, 5, 24
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiAuthController.java", "Java", 0, 33, 0, 0, 10, 43
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java", "Java", 0, 45, 0, 0, 10, 55
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\auth\LoginRequest.java", "Java", 0, 20, 0, 0, 9, 29
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\auth\LoginResponse.java", "Java", 0, 10, 0, 0, 5, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CourseProgressDto.java", "Java", 0, 45, 0, 0, 15, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardResponse.java", "Java", 0, 60, 0, 0, 20, 80
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\TaskDto.java", "Java", 0, 40, 0, 0, 15, 55
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\UpcomingClassDto.java", "Java", 0, 53, 0, 0, 18, 71
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Admin.java", "Java", 0, 1, 0, 0, 2, 3
"f:\Coding\studentmanagement\src\main\java\com\sms\model\ClassSession.java", "Java", 0, 68, 0, 0, 22, 90
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Course.java", "Java", 0, 13, 0, 0, 1, 14
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Enrollment.java", "Java", 0, 10, 0, 0, 1, 11
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Student.java", "Java", 0, 14, 0, 0, 4, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\model\TaskItem.java", "Java", 0, 71, 0, 0, 23, 94
"f:\Coding\studentmanagement\src\main\java\com\sms\model\TaskStatus.java", "Java", 0, 5, 0, 0, 2, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\model\User.java", "Java", 0, 8, 0, 0, 1, 9
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\ClassSessionRepository.java", "Java", 0, 10, 0, 0, 5, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\CourseRepository.java", "Java", 0, 2, 0, 0, 2, 4
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\EnrollmentRepository.java", "Java", 0, 9, 0, 0, 5, 14
