"filename", "language", "Java", "XML", "HTML", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java", "Java", -1, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ClassDTO.java", "Java", 53, 0, 0, 0, 0, 18, 71
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardDTO.java", "Java", 67, 0, 0, 0, 0, 22, 89
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\SubjectDTO.java", "Java", 45, 0, 0, 0, 0, 15, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DashboardService.java", "Java", 75, 0, 0, 0, 0, 9, 84
"f:\Coding\studentmanagement\src\main\resources\static\css\dashboard.css", "PostCSS", 0, 0, 0, 310, 1, 55, 366
"f:\Coding\studentmanagement\src\main\resources\templates\student-dashboard.html", "HTML", 0, 0, 114, 0, 0, 13, 127
"f:\Coding\studentmanagement\src\test\java\com\sms\controller\DashboardControllerTest.java", "Java", 3, 0, 0, 0, 0, 1, 4
"f:\Coding\studentmanagement\target\classes\com\sms\config\WebSocketConfig.class", "Java", -2, 0, 0, 0, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\ClassDTO.class", "Java", 16, 0, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardDTO.class", "Java", 18, 0, 0, 0, 0, 0, 18
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\SubjectDTO.class", "Java", 16, 0, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 60, 0, 0, 0, 0, 0, 60
"f:\Coding\studentmanagement\target\classes\static\css\dashboard.css", "PostCSS", 0, 0, 0, 310, 1, 55, 366
"f:\Coding\studentmanagement\target\classes\templates\student-dashboard.html", "HTML", 0, 0, 114, 0, 0, 13, 127
"f:\Coding\studentmanagement\target\surefire-reports\TEST-com.sms.controller.DashboardControllerTest.xml", "XML", 0, -4, 0, 0, 0, 0, -4
"f:\Coding\studentmanagement\target\test-classes\com\sms\controller\DashboardControllerTest.class", "Java", 7, 0, 0, 0, 0, 0, 7
"Total", "-", 358, -4, 228, 620, 2, 201, 1405
