Date : 2026-04-16 00:33:09
Directory : f:\Coding\studentmanagement
Total : 210 files,  8410 codes, 629 comments, 1290 blanks, all 10329 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        176 |      4,802 |         82 |        723 |      5,607 |
| PostCSS         |          2 |      1,480 |         58 |        234 |      1,772 |
| HTML            |         16 |      1,376 |         50 |        216 |      1,642 |
| XML             |          5 |        515 |        333 |         35 |        883 |
| Batch           |          2 |        133 |         73 |         43 |        249 |
| Java Properties |          6 |         66 |         31 |         26 |        123 |
| PowerShell      |          2 |         30 |          2 |         10 |         42 |
| Properties      |          1 |          8 |          0 |          3 |         11 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                    | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                       |        210 |      8,410 |        629 |      1,290 |     10,329 |
| . (Files)                                                                                               |          4 |        223 |          9 |         24 |        256 |
| apache-maven-3.9.6                                                                                      |          6 |        178 |        416 |         66 |        660 |
| apache-maven-3.9.6\bin                                                                                  |          3 |        141 |         73 |         46 |        260 |
| apache-maven-3.9.6\conf                                                                                 |          3 |         37 |        343 |         20 |        400 |
| apache-maven-3.9.6\conf (Files)                                                                         |          2 |         26 |        326 |         17 |        369 |
| apache-maven-3.9.6\conf\logging                                                                         |          1 |         11 |         17 |          3 |         31 |
| out                                                                                                     |         24 |        736 |         40 |          3 |        779 |
| out\com                                                                                                 |         13 |        562 |         40 |          0 |        602 |
| out\com\sms                                                                                             |         13 |        562 |         40 |          0 |        602 |
| out\com\sms (Files)                                                                                     |          1 |         11 |          0 |          0 |         11 |
| out\com\sms\gui                                                                                         |         12 |        551 |         40 |          0 |        591 |
| out\model                                                                                               |          4 |         53 |          0 |          0 |         53 |
| out\service                                                                                             |          3 |         81 |          0 |          0 |         81 |
| out\util                                                                                                |          4 |         40 |          0 |          3 |         43 |
| src                                                                                                     |         94 |      4,148 |         68 |        950 |      5,166 |
| src\main                                                                                                |         92 |      4,007 |         68 |        919 |      4,994 |
| src\main\java                                                                                           |         81 |      2,553 |          7 |        683 |      3,243 |
| src\main\java\com                                                                                       |         81 |      2,553 |          7 |        683 |      3,243 |
| src\main\java\com\sms                                                                                   |         81 |      2,553 |          7 |        683 |      3,243 |
| src\main\java\com\sms (Files)                                                                           |          1 |         11 |          0 |          4 |         15 |
| src\main\java\com\sms\config                                                                            |          4 |        278 |          0 |         55 |        333 |
| src\main\java\com\sms\controller                                                                        |         10 |        387 |          3 |         90 |        480 |
| src\main\java\com\sms\dto                                                                               |         15 |        570 |          0 |        211 |        781 |
| src\main\java\com\sms\dto\auth                                                                          |          2 |         30 |          0 |         14 |         44 |
| src\main\java\com\sms\dto\dashboard                                                                     |         13 |        540 |          0 |        197 |        737 |
| src\main\java\com\sms\model                                                                             |         18 |        504 |          0 |        143 |        647 |
| src\main\java\com\sms\repository                                                                        |          8 |         84 |          0 |         46 |        130 |
| src\main\java\com\sms\service                                                                           |         15 |        607 |          4 |        118 |        729 |
| src\main\java\com\sms\util                                                                              |         10 |        112 |          0 |         16 |        128 |
| src\main\resources                                                                                      |         11 |      1,454 |         61 |        236 |      1,751 |
| src\main\resources (Files)                                                                              |          2 |         26 |          7 |         11 |         44 |
| src\main\resources\static                                                                               |          1 |        740 |         29 |        117 |        886 |
| src\main\resources\static\css                                                                           |          1 |        740 |         29 |        117 |        886 |
| src\main\resources\templates                                                                            |          8 |        688 |         25 |        108 |        821 |
| src\main\resources\templates (Files)                                                                    |          7 |        646 |         19 |        102 |        767 |
| src\main\resources\templates\fragments                                                                  |          1 |         42 |          6 |          6 |         54 |
| src\test                                                                                                |          2 |        141 |          0 |         31 |        172 |
| src\test\java                                                                                           |          2 |        141 |          0 |         31 |        172 |
| src\test\java\com                                                                                       |          2 |        141 |          0 |         31 |        172 |
| src\test\java\com\sms                                                                                   |          2 |        141 |          0 |         31 |        172 |
| src\test\java\com\sms\controller                                                                        |          1 |         96 |          0 |         18 |        114 |
| src\test\java\com\sms\service                                                                           |          1 |         45 |          0 |         13 |         58 |
| target                                                                                                  |         82 |      3,125 |         96 |        247 |      3,468 |
| target\classes                                                                                          |         77 |      2,688 |         96 |        242 |      3,026 |
| target\classes (Files)                                                                                  |          2 |         26 |          7 |         11 |         44 |
| target\classes\com                                                                                      |         66 |      1,234 |         35 |          6 |      1,275 |
| target\classes\com\sms                                                                                  |         66 |      1,234 |         35 |          6 |      1,275 |
| target\classes\com\sms (Files)                                                                          |          1 |          9 |          0 |          0 |          9 |
| target\classes\com\sms\config                                                                           |          4 |        143 |         35 |          0 |        178 |
| target\classes\com\sms\controller                                                                       |         10 |        182 |          0 |          0 |        182 |
| target\classes\com\sms\dto                                                                              |         15 |        200 |          0 |          0 |        200 |
| target\classes\com\sms\dto\auth                                                                         |          2 |         16 |          0 |          0 |         16 |
| target\classes\com\sms\dto\dashboard                                                                    |         13 |        184 |          0 |          0 |        184 |
| target\classes\com\sms\model                                                                            |         14 |        199 |          0 |          3 |        202 |
| target\classes\com\sms\repository                                                                       |          8 |         38 |          0 |          0 |         38 |
| target\classes\com\sms\service                                                                          |          9 |        403 |          0 |          0 |        403 |
| target\classes\com\sms\util                                                                             |          5 |         60 |          0 |          3 |         63 |
| target\classes\static                                                                                   |          1 |        740 |         29 |        117 |        886 |
| target\classes\static\css                                                                               |          1 |        740 |         29 |        117 |        886 |
| target\classes\templates                                                                                |          8 |        688 |         25 |        108 |        821 |
| target\classes\templates (Files)                                                                        |          7 |        646 |         19 |        102 |        767 |
| target\classes\templates\fragments                                                                      |          1 |         42 |          6 |          6 |         54 |
| target\maven-archiver                                                                                   |          1 |          3 |          0 |          1 |          4 |
| target\surefire-reports                                                                                 |          2 |        370 |          0 |          4 |        374 |
| target\test-classes                                                                                     |          2 |         64 |          0 |          0 |         64 |
| target\test-classes\com                                                                                 |          2 |         64 |          0 |          0 |         64 |
| target\test-classes\com\sms                                                                             |          2 |         64 |          0 |          0 |         64 |
| target\test-classes\com\sms\controller                                                                  |          1 |         36 |          0 |          0 |         36 |
| target\test-classes\com\sms\service                                                                     |          1 |         28 |          0 |          0 |         28 |
+---------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| f:\Coding\studentmanagement\Main.class                                                                  | Java            |         74 |          0 |          0 |         74 |
| f:\Coding\studentmanagement\apache-maven-3.9.6\bin\m2.conf                                              | Properties      |          8 |          0 |          3 |         11 |
| f:\Coding\studentmanagement\apache-maven-3.9.6\bin\mvn.cmd                                              | Batch           |        126 |         41 |         36 |        203 |
| f:\Coding\studentmanagement\apache-maven-3.9.6\bin\mvnDebug.cmd                                         | Batch           |          7 |         32 |          7 |         46 |
| f:\Coding\studentmanagement\apache-maven-3.9.6\conf\logging\simplelogger.properties                     | Java Properties |         11 |         17 |          3 |         31 |
| f:\Coding\studentmanagement\apache-maven-3.9.6\conf\settings.xml                                        | XML             |         22 |        231 |         13 |        266 |
| f:\Coding\studentmanagement\apache-maven-3.9.6\conf\toolchains.xml                                      | XML             |          4 |         95 |          4 |        103 |
| f:\Coding\studentmanagement\out\com\sms\StudentManagementApplication.class                              | Java            |         11 |          0 |          0 |         11 |
| f:\Coding\studentmanagement\out\com\sms\gui\LoginFrame.class                                            | Java            |         86 |          4 |          0 |         90 |
| f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$1.class                                           | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$2.class                                           | Java            |         17 |          0 |          0 |         17 |
| f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$3.class                                           | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$4.class                                           | Java            |         18 |          0 |          0 |         18 |
| f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$5.class                                           | Java            |         17 |          0 |          0 |         17 |
| f:\Coding\studentmanagement\out\com\sms\gui\MainFrame.class                                             | Java            |        172 |         36 |          0 |        208 |
| f:\Coding\studentmanagement\out\com\sms\gui\StudentDialog.class                                         | Java            |        117 |          0 |          0 |        117 |
| f:\Coding\studentmanagement\out\com\sms\gui\UITheme$1.class                                             | Java            |          9 |          0 |          0 |          9 |
| f:\Coding\studentmanagement\out\com\sms\gui\UITheme$2.class                                             | Java            |         11 |          0 |          0 |         11 |
| f:\Coding\studentmanagement\out\com\sms\gui\UITheme$3.class                                             | Java            |          9 |          0 |          0 |          9 |
| f:\Coding\studentmanagement\out\com\sms\gui\UITheme.class                                               | Java            |         79 |          0 |          0 |         79 |
| f:\Coding\studentmanagement\out\model\Admin.class                                                       | Java            |          7 |          0 |          0 |          7 |
| f:\Coding\studentmanagement\out\model\Course.class                                                      | Java            |         10 |          0 |          0 |         10 |
| f:\Coding\studentmanagement\out\model\Person.class                                                      | Java            |          8 |          0 |          0 |          8 |
| f:\Coding\studentmanagement\out\model\Student.class                                                     | Java            |         28 |          0 |          0 |         28 |
| f:\Coding\studentmanagement\out\service\AuthenticationService.class                                     | Java            |         17 |          0 |          0 |         17 |
| f:\Coding\studentmanagement\out\service\FileService.class                                               | Java            |         23 |          0 |          0 |         23 |
| f:\Coding\studentmanagement\out\service\StudentService.class                                            | Java            |         41 |          0 |          0 |         41 |
| f:\Coding\studentmanagement\out\util\CustomException.class                                              | Java            |          5 |          0 |          0 |          5 |
| f:\Coding\studentmanagement\out\util\GradeUtil.class                                                    | Java            |          8 |          0 |          3 |         11 |
| f:\Coding\studentmanagement\out\util\InputValidator.class                                               | Java            |         16 |          0 |          0 |         16 |
| f:\Coding\studentmanagement\out\util\StudentComparators.class                                           | Java            |         11 |          0 |          0 |         11 |
| f:\Coding\studentmanagement\pom.xml                                                                     | XML             |        119 |          7 |         14 |        140 |
| f:\Coding\studentmanagement\run_gui.ps1                                                                 | PowerShell      |         17 |          1 |          6 |         24 |
| f:\Coding\studentmanagement\run_spring.ps1                                                              | PowerShell      |         13 |          1 |          4 |         18 |
| f:\Coding\studentmanagement\src\main\java\com\sms\StudentManagementApplication.java                     | Java            |         11 |          0 |          4 |         15 |
| f:\Coding\studentmanagement\src\main\java\com\sms\config\DemoDataLoader.java                            | Java            |        142 |          0 |         23 |        165 |
| f:\Coding\studentmanagement\src\main\java\com\sms\config\JwtAuthenticationFilter.java                   | Java            |         48 |          0 |         15 |         63 |
| f:\Coding\studentmanagement\src\main\java\com\sms\config\SecurityConfig.java                            | Java            |         67 |          0 |         12 |         79 |
| f:\Coding\studentmanagement\src\main\java\com\sms\config\WebSocketConfig.java                           | Java            |         21 |          0 |          5 |         26 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminApiController.java                    | Java            |         49 |          0 |         11 |         60 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminController.java                       | Java            |         50 |          2 |         13 |         65 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiAuthController.java                     | Java            |         33 |          0 |         10 |         43 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiExceptionHandler.java                   | Java            |         74 |          0 |         13 |         87 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\AuthController.java                        | Java            |         29 |          0 |          9 |         38 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java                   | Java            |         46 |          0 |          9 |         55 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\PortalController.java                      | Java            |         22 |          1 |          7 |         30 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentController.java                     | Java            |         10 |          0 |          3 |         13 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherApiController.java                  | Java            |         64 |          0 |         12 |         76 |
| f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherController.java                     | Java            |         10 |          0 |          3 |         13 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\auth\LoginRequest.java                            | Java            |         20 |          0 |          9 |         29 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\auth\LoginResponse.java                           | Java            |         10 |          0 |          5 |         15 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\AssignTeacherRequest.java               | Java            |         20 |          0 |          9 |         29 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ClassDTO.java                           | Java            |         53 |          0 |         18 |         71 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CourseProgressDto.java                  | Java            |         45 |          0 |         15 |         60 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateSubjectRequest.java               | Java            |         29 |          0 |         12 |         41 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateTaskRequest.java                  | Java            |         37 |          0 |         16 |         53 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardDTO.java                       | Java            |         67 |          0 |         22 |         89 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardResponse.java                  | Java            |         60 |          0 |         20 |         80 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\EnrollStudentRequest.java               | Java            |         21 |          0 |          9 |         30 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ScheduleClassRequest.java               | Java            |         46 |          0 |         19 |         65 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\StudentProgressViewDto.java             | Java            |         24 |          0 |          9 |         33 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\SubjectDTO.java                         | Java            |         45 |          0 |         15 |         60 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\TaskDto.java                            | Java            |         40 |          0 |         15 |         55 |
| f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\UpcomingClassDto.java                   | Java            |         53 |          0 |         18 |         71 |
| f:\Coding\studentmanagement\src\main\java\com\sms\model\Admin.class                                     | Java            |          7 |          0 |          0 |          7 |
| f:\Coding\studentmanagement\src\main\java\com\sms\model\Admin.java                                      | Java            |         17 |          0 |          9 |         26 |
| f:\Coding\studentmanagement\src\main\java\com\sms\model\ClassSession.java                               | Java            |         68 |          0 |         22 |         90 |
