"filename", "language", "XML", "Java", "HTML", "PostCSS", "Java Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\pom.xml", "XML", 24, 0, 0, 0, 0, 2, 2, 28
"f:\Coding\studentmanagement\src\main\java\com\sms\config\DemoDataLoader.java", "Java", 0, 12, 0, 0, 0, 0, 0, 12
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DigitalIDApi.java", "Java", 0, 156, 0, 0, 0, 29, 22, 207
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentController.java", "Java", 0, 4, 0, 0, 0, 0, 1, 5
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentProfileApiController.java", "Java", 0, 23, 0, 0, 0, 0, 7, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentViewController.java", "Java", 0, 16, 0, 0, 0, 11, 5, 32
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\DigitalIDCardDTO.java", "Java", 0, 19, 0, 0, 0, 4, 3, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\VerificationResponseDTO.java", "Java", 0, 14, 0, 0, 0, 4, 3, 21
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\student\StudentProfileDTO.java", "Java", 0, 101, 0, 0, 0, 0, 34, 135
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Student.java", "Java", 0, 78, 0, 0, 0, 0, 26, 104
"f:\Coding\studentmanagement\src\main\java\com\sms\service\QRService.java", "Java", 0, 79, 0, 0, 0, 18, 17, 114
"f:\Coding\studentmanagement\src\main\java\com\sms\service\StudentService.java", "Java", 0, 33, 0, 0, 0, 0, 8, 41
"f:\Coding\studentmanagement\src\main\resources\static\css\dashboard.css", "PostCSS", 0, 0, 0, 161, 0, 1, 29, 191
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\templates\student-id-card.html", "HTML", 0, 0, 522, 0, 0, 5, 79, 606
"f:\Coding\studentmanagement\src\main\resources\templates\student-profile.html", "HTML", 0, 0, 144, 0, 0, 0, 28, 172
"f:\Coding\studentmanagement\src\test\java\com\sms\controller\DashboardControllerTest.java", "Java", 0, 15, 0, 0, 0, 0, 2, 17
"f:\Coding\studentmanagement\target\classes\com\sms\config\DemoDataLoader.class", "Java", 0, 18, 0, 0, 0, 0, 0, 18
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DigitalIDApi.class", "Java", 0, 72, 0, 0, 0, 0, 0, 72
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentController.class", "Java", 0, 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentProfileApiController.class", "Java", 0, 11, 0, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentViewController.class", "Java", 0, 8, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\DigitalIDCardDTO.class", "Java", 0, 12, 0, 0, 0, 4, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\identity\VerificationResponseDTO.class", "Java", 0, 16, 0, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\target\classes\com\sms\dto\student\StudentProfileDTO.class", "Java", 0, 28, 0, 0, 0, 0, 0, 28
"f:\Coding\studentmanagement\target\classes\com\sms\model\Student.class", "Java", 0, 20, 0, 0, 0, 0, 0, 20
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, -5, 0, 0, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\service\QRService$IDTokenClaims.class", "Java", 0, 13, 0, 0, 0, 0, 0, 13
"f:\Coding\studentmanagement\target\classes\com\sms\service\QRService.class", "Java", 0, 40, 0, 0, 0, 0, 0, 40
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentService.class", "Java", 0, 52, 0, 0, 0, 0, 0, 52
"f:\Coding\studentmanagement\target\classes\static\css\dashboard.css", "PostCSS", 0, 0, 0, 161, 0, 1, 29, 191
"f:\Coding\studentmanagement\target\classes\templates\fragments\sidebar.html", "HTML", 0, 0, 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\templates\student-id-card.html", "HTML", 0, 0, 522, 0, 0, 5, 79, 606
"f:\Coding\studentmanagement\target\classes\templates\student-profile.html", "HTML", 0, 0, 144, 0, 0, 0, 28, 172
"f:\Coding\studentmanagement\target\maven-archiver\pom.properties", "Java Properties", 0, 0, 0, 0, -3, 0, -1, -4
"f:\Coding\studentmanagement\target\surefire-reports\TEST-com.sms.controller.DashboardControllerTest.xml", "XML", -224, 0, 0, 0, 0, 0, -2, -226
"f:\Coding\studentmanagement\target\surefire-reports\TEST-com.sms.service.DashboardServiceTest.xml", "XML", -146, 0, 0, 0, 0, 0, -2, -148
"f:\Coding\studentmanagement\target\test-classes\com\sms\controller\DashboardControllerTest.class", "Java", 0, -2, 0, 0, 0, 0, 0, -2
"Total", "-", -346, 834, 1334, 322, -3, 84, 397, 2622
