"filename", "language", "HTML", "JavaScript", "Java", "MS SQL", "JSON", "Markdown", "Java Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\PWA_GEOLOCATION_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 456, 0, 2, 90, 548
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentAttendanceController.java", "Java", 0, 0, 171, 0, 0, 0, 0, 4, 22, 197
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherAttendanceController.java", "Java", 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\MarkAttendanceRequest.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\MarkAttendanceResponse.java", "Java", 0, 0, 15, 0, 0, 0, 0, 0, 3, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Attendance.java", "Java", 0, 0, 48, 0, 0, 0, 0, 0, 15, 63
"f:\Coding\studentmanagement\src\main\java\com\sms\model\CampusLocation.java", "Java", 0, 0, 52, 0, 0, 0, 0, 5, 19, 76
"f:\Coding\studentmanagement\src\main\java\com\sms\model\SecurityAudit.java", "Java", 0, 0, 70, 0, 0, 0, 0, 5, 32, 107
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\CampusLocationRepository.java", "Java", 0, 0, 12, 0, 0, 0, 0, 9, 6, 27
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\SecurityAuditRepository.java", "Java", 0, 0, 19, 0, 0, 0, 0, 18, 9, 46
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AntiCheatingService.java", "Java", 0, 0, 153, 0, 0, 0, 0, 44, 43, 240
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AttendanceService.java", "Java", 0, 0, 14, 0, 0, 0, 0, 3, 1, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\service\GeolocationService.java", "Java", 0, 0, 87, 0, 0, 0, 0, 42, 23, 152
"f:\Coding\studentmanagement\src\main\resources\application-postgres.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"f:\Coding\studentmanagement\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"f:\Coding\studentmanagement\src\main\resources\data.sql", "MS SQL", 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\src\main\resources\public\manifest.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 1, 56
"f:\Coding\studentmanagement\src\main\resources\public\service-worker.js", "JavaScript", 0, 115, 0, 0, 0, 0, 0, 14, 12, 141
"f:\Coding\studentmanagement\src\main\resources\templates\attendance-scanner.html", "HTML", 136, 0, 0, 0, 0, 0, 0, 0, 18, 154
"f:\Coding\studentmanagement\src\main\resources\templates\teacher-dashboard.html", "HTML", 157, 0, 0, 0, 0, 0, 0, 0, 25, 182
"f:\Coding\studentmanagement\target\classes\application-postgres.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 2, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\StudentManagementApplication.class", "Java", 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\config\JwtAuthenticationFilter.class", "Java", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\config\SecurityConfig.class", "Java", 0, 0, 3, 0, 0, 0, 0, -2, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\config\WebSocketConfig.class", "Java", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminApiController.class", "Java", 0, 0, -2, 0, 0, 0, 0, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminController.class", "Java", 0, 0, -4, 0, 0, 0, 0, 0, 0, -4
