"filename", "language", "HTML", "PostCSS", "JavaScript", "Java", "MS SQL", "JSON", "Markdown", "XML", "Java Properties", "PowerShell", "Batch", "Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\Main.class", "Java", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74
"f:\Coding\studentmanagement\PWA_GEOLOCATION_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 2, 90, 548
"f:\Coding\studentmanagement\apache-maven-3.9.6\bin\m2.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 3, 11
"f:\Coding\studentmanagement\apache-maven-3.9.6\bin\mvn.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 41, 36, 203
"f:\Coding\studentmanagement\apache-maven-3.9.6\bin\mvnDebug.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 32, 7, 46
"f:\Coding\studentmanagement\apache-maven-3.9.6\conf\logging\simplelogger.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 17, 3, 31
"f:\Coding\studentmanagement\apache-maven-3.9.6\conf\settings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 231, 13, 266
"f:\Coding\studentmanagement\apache-maven-3.9.6\conf\toolchains.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 95, 4, 103
"f:\Coding\studentmanagement\out\com\sms\StudentManagementApplication.class", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\out\com\sms\gui\LoginFrame.class", "Java", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 90
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$1.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$2.class", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$3.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$4.class", "Java", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$5.class", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame.class", "Java", 0, 0, 0, 172, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 208
"f:\Coding\studentmanagement\out\com\sms\gui\StudentDialog.class", "Java", 0, 0, 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme$1.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme$2.class", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme$3.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme.class", "Java", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79
"f:\Coding\studentmanagement\out\model\Admin.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\out\model\Course.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\out\model\Person.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\out\model\Student.class", "Java", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"f:\Coding\studentmanagement\out\service\AuthenticationService.class", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\out\service\FileService.class", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"f:\Coding\studentmanagement\out\service\StudentService.class", "Java", 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41
"f:\Coding\studentmanagement\out\util\CustomException.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\out\util\GradeUtil.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"f:\Coding\studentmanagement\out\util\InputValidator.class", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"f:\Coding\studentmanagement\out\util\StudentComparators.class", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 9, 16, 168
"f:\Coding\studentmanagement\run_gui.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 1, 6, 24
"f:\Coding\studentmanagement\run_spring.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 4, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\StudentManagementApplication.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\config\DemoDataLoader.java", "Java", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 177
"f:\Coding\studentmanagement\src\main\java\com\sms\config\JwtAuthenticationFilter.java", "Java", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 63
"f:\Coding\studentmanagement\src\main\java\com\sms\config\SecurityConfig.java", "Java", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 82
"f:\Coding\studentmanagement\src\main\java\com\sms\config\WebSocketConfig.java", "Java", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminApiController.java", "Java", 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminController.java", "Java", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 67
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiAuthController.java", "Java", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 43
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiExceptionHandler.java", "Java", 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 87
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AttendanceViewController.java", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 43
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AuthController.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 38
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java", "Java", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DigitalIDApi.java", "Java", 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 207
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\PortalController.java", "Java", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentAttendanceController.java", "Java", 0, 0, 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 42, 51, 436
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentController.java", "Java", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentProfileApiController.java", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentViewController.java", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 23
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherApiController.java", "Java", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 76
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherAttendanceController.java", "Java", 0, 0, 0, 169, 0, 0, 0, 0, 0, 0, 0, 0, 38, 33, 240
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherController.java", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\AttendanceQRResponse.java", "Java", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 84
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\GenerateAttendanceQRRequest.java", "Java", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 45
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\ManualAttendanceRequest.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 77
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\MarkAttendanceRequest.java", "Java", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 79
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\attendance\MarkAttendanceResponse.java", "Java", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 88
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\auth\LoginRequest.java", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\auth\LoginResponse.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\AssignTeacherRequest.java", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 29
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ClassDTO.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 71
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CourseProgressDto.java", "Java", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateSubjectRequest.java", "Java", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 41
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\CreateTaskRequest.java", "Java", 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 53
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardDTO.java", "Java", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 89
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\DashboardResponse.java", "Java", 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 80
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\EnrollStudentRequest.java", "Java", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\ScheduleClassRequest.java", "Java", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 65
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\StudentProgressViewDto.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 33
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\SubjectDTO.java", "Java", 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 60
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\TaskDto.java", "Java", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 55
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\UpcomingClassDto.java", "Java", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 71
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\DigitalIDCardDTO.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\identity\VerificationResponseDTO.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 21
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\student\StudentProfileDTO.java", "Java", 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 135
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Admin.class", "Java", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Admin.java", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Attendance.java", "Java", 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 6, 57, 236
"f:\Coding\studentmanagement\src\main\java\com\sms\model\CampusLocation.java", "Java", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 76
"f:\Coding\studentmanagement\src\main\java\com\sms\model\ClassSession.java", "Java", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 90
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Course.class", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Course.java", "Java", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 54
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Enrollment.java", "Java", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 46
"f:\Coding\studentmanagement\src\main\java\com\sms\model\LoginUser.java", "Java", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 36
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Person.class", "Java", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Person.java", "Java", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 27
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Role.java", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\model\SecurityAudit.java", "Java", 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32, 107
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Student.class", "Java", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Student.java", "Java", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 172
"f:\Coding\studentmanagement\src\main\java\com\sms\model\StudentTask.java", "Java", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 67
"f:\Coding\studentmanagement\src\main\java\com\sms\model\TaskItem.java", "Java", 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 81
"f:\Coding\studentmanagement\src\main\java\com\sms\model\TaskStatus.java", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"f:\Coding\studentmanagement\src\main\java\com\sms\model\Teacher.java", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 36
"f:\Coding\studentmanagement\src\main\java\com\sms\model\User.java", "Java", 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"f:\Coding\studentmanagement\src\main\java\com\sms\model\UserRole.java", "Java", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\AttendanceRepository.java", "Java", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 31, 13, 106
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\CampusLocationRepository.java", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 27
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\ClassSessionRepository.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\CourseRepository.java", "Java", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\EnrollmentRepository.java", "Java", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\SecurityAuditRepository.java", "Java", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 18, 9, 46
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\StudentRepository.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\StudentTaskRepository.java", "Java", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\TaskItemRepository.java", "Java", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 19
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\TeacherRepository.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\UserRepository.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AntiCheatingService.java", "Java", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 44, 43, 240
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AttendanceQRTokenService.java", "Java", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 165
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AttendanceService.java", "Java", 0, 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 39, 36, 212
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AuthenticationService.class", "Java", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AuthenticationService.java", "Java", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 29
"f:\Coding\studentmanagement\src\main\java\com\sms\service\CourseService.class", "Java", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"f:\Coding\studentmanagement\src\main\java\com\sms\service\CourseService.java", "Java", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"f:\Coding\studentmanagement\src\main\java\com\sms\service\CustomUserDetailsService.java", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 31
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DashboardService.java", "Java", 0, 0, 0, 354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 414
"f:\Coding\studentmanagement\src\main\java\com\sms\service\FileService.class", "Java", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"f:\Coding\studentmanagement\src\main\java\com\sms\service\FileService.java", "Java", 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\service\GeolocationService.java", "Java", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 42, 23, 152
