"filename", "language", "Docker", "HTML", "Java", "comment", "blank", "total"
"f:\Coding\studentmanagement\Dockerfile", "Docker", 9, 0, 0, 0, 7, 16
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminController.java", "Java", 0, 0, 14, 1, 1, 16
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java", "Java", 0, 0, 8, 0, 2, 10
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\PortalController.java", "Java", 0, 0, 4, 0, 1, 5
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\StudentController.java", "Java", 0, 0, 4, 0, 1, 5
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\dashboard\UpcomingClassDto.java", "Java", 0, 0, 7, 0, 2, 9
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DashboardService.java", "Java", 0, 0, 1, 0, 0, 1
"f:\Coding\studentmanagement\src\main\java\com\sms\service\StudentProfileService.java", "Java", 0, 0, -1, 0, 0, -1
"f:\Coding\studentmanagement\src\main\resources\templates\admin-dashboard.html", "HTML", 0, 10, 0, 0, 0, 10
"f:\Coding\studentmanagement\src\main\resources\templates\attendance-scanner.html", "HTML", 0, 45, 0, 0, 10, 55
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\templates\student-timetable.html", "HTML", 0, 123, 0, 0, 21, 144
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminController.class", "Java", 0, 0, 2, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 0, 0, 2, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class", "Java", 0, 0, 9, 0, 0, 9
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentController.class", "Java", 0, 0, 5, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardResponse.class", "Java", 0, 0, 6, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\UpcomingClassDto.class", "Java", 0, 0, 6, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, 0, 6, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentProfileService.class", "Java", 0, 0, 5, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\templates\admin-dashboard.html", "HTML", 0, 10, 0, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\templates\attendance-scanner.html", "HTML", 0, 45, 0, 0, 10, 55
"f:\Coding\studentmanagement\target\classes\templates\fragments\sidebar.html", "HTML", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\templates\student-timetable.html", "HTML", 0, 123, 0, 0, 21, 144
"Total", "-", 9, 358, 78, 1, 76, 522
