"filename", "language", "HTML", "Java", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\config\DemoDataLoader.java", "Java", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminController.java", "Java", 0, 4, 0, 0, 0, 4
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\AdminProfileController.java", "Java", 0, 20, 0, 0, 4, 24
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\TeacherAttendanceController.java", "Java", 0, 57, 0, -1, 6, 62
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\profile\AdminUpdateStudentProfileRequest.java", "Java", 0, 3, 0, 0, 0, 3
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\profile\StudentProfileResponseDTO.java", "Java", 0, 3, 0, 0, 0, 3
"f:\Coding\studentmanagement\src\main\java\com\sms\model\StudentProfile.java", "Java", 0, 4, 0, 0, 1, 5
"f:\Coding\studentmanagement\src\main\java\com\sms\service\StudentProfileService.java", "Java", 0, 3, 0, 0, 0, 3
"f:\Coding\studentmanagement\src\main\java\com\sms\service\StudentService.java", "Java", 0, 21, 0, 0, 1, 22
"f:\Coding\studentmanagement\src\main\resources\static\css\dashboard.css", "PostCSS", 0, 0, 85, 0, 17, 102
"f:\Coding\studentmanagement\src\main\resources\templates\admin-dashboard.html", "HTML", -80, 0, 0, -6, -6, -92
"f:\Coding\studentmanagement\src\main\resources\templates\admin-profile.html", "HTML", 118, 0, 0, 0, 14, 132
"f:\Coding\studentmanagement\src\main\resources\templates\admin-students.html", "HTML", 85, 0, 0, 0, 7, 92
"f:\Coding\studentmanagement\src\main\resources\templates\attendance-scanner.html", "HTML", 65, 0, 0, 0, 1, 66
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\templates\student-profile.html", "HTML", 72, 0, 0, 0, 8, 80
"f:\Coding\studentmanagement\src\main\resources\templates\teacher-attendance.html", "HTML", 51, 0, 0, 0, 11, 62
"f:\Coding\studentmanagement\target\classes\com\sms\config\DemoDataLoader.class", "Java", 0, -22, 0, 30, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminController.class", "Java", 0, 3, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminProfileController.class", "Java", 0, 9, 0, 0, 0, 9
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminStudentProfileApiController.class", "Java", 0, 2, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DigitalIDApi.class", "Java", 0, 2, 0, 0, 1, 3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class", "Java", 0, -9, 0, 0, 0, -9
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentController.class", "Java", 0, -6, 0, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentProfileApiController.class", "Java", 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherAttendanceController.class", "Java", 0, 40, 0, 0, 1, 41
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\DashboardResponse.class", "Java", 0, -6, 0, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\UpcomingClassDto.class", "Java", 0, -5, 0, 0, 0, -5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\AdminUpdateStudentProfileRequest.class", "Java", 0, 5, 0, 0, 0, 5
"f:\Coding\studentmanagement\target\classes\com\sms\dto\profile\StudentProfileResponseDTO.class", "Java", 0, 4, 0, 0, 0, 4
"f:\Coding\studentmanagement\target\classes\com\sms\model\StudentProfile.class", "Java", 0, 25, 0, 0, 0, 25
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, -4, 0, 0, 0, -4
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentProfileService.class", "Java", 0, 3, 0, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentService.class", "Java", 0, 11, 0, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\static\css\dashboard.css", "PostCSS", 0, 0, 85, 0, 17, 102
"f:\Coding\studentmanagement\target\classes\templates\admin-dashboard.html", "HTML", -80, 0, 0, -6, -6, -92
"f:\Coding\studentmanagement\target\classes\templates\admin-profile.html", "HTML", 118, 0, 0, 0, 14, 132
"f:\Coding\studentmanagement\target\classes\templates\admin-students.html", "HTML", 85, 0, 0, 0, 7, 92
"f:\Coding\studentmanagement\target\classes\templates\attendance-scanner.html", "HTML", 65, 0, 0, 0, 1, 66
"f:\Coding\studentmanagement\target\classes\templates\fragments\sidebar.html", "HTML", 1, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\templates\student-profile.html", "HTML", 72, 0, 0, 0, 8, 80
"f:\Coding\studentmanagement\target\classes\templates\teacher-attendance.html", "HTML", 51, 0, 0, 0, 11, 62
"Total", "-", 624, 170, 170, 17, 118, 1099
