"filename", "language", "XML", "Java", "Java Properties", "JavaScript", "comment", "blank", "total"
"f:\Coding\studentmanagement\pom.xml", "XML", 9, 0, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\src\main\java\com\sms\config\AnalyticsRedisBridge.java", "Java", 0, 36, 0, 0, 0, 9, 45
"f:\Coding\studentmanagement\src\main\java\com\sms\config\RedisAnalyticsConfig.java", "Java", 0, 87, 0, 0, 0, 14, 101
"f:\Coding\studentmanagement\src\main\java\com\sms\model\AnalyticsSnapshot.java", "Java", 0, 82, 0, 0, 0, 26, 108
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\AnalyticsSnapshotRepository.java", "Java", 0, 12, 0, 0, 0, 5, 17
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AiAnalyticsService.java", "Java", 0, 3, 0, 0, 0, 0, 3
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AnalyticsCacheService.java", "Java", 0, 23, 0, 0, 0, 7, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AnalyticsReportService.java", "Java", 0, 195, 0, 0, 0, 27, 222
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AnalyticsSnapshotScheduler.java", "Java", 0, 19, 0, 0, 0, 7, 26
"f:\Coding\studentmanagement\src\main\java\com\sms\service\AnalyticsSnapshotService.java", "Java", 0, 51, 0, 0, 0, 10, 61
"f:\Coding\studentmanagement\src\main\resources\application.properties", "Java Properties", 0, 0, 15, 0, 3, 3, 21
"f:\Coding\studentmanagement\src\main\resources\static\js\ai-insights.js", "JavaScript", 0, 0, 0, 26, 0, 2, 28
"f:\Coding\studentmanagement\target\classes\application.properties", "Java Properties", 0, 0, 15, 0, 3, 3, 21
"f:\Coding\studentmanagement\target\classes\com\sms\StudentManagementApplication.class", "Java", 0, 8, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\config\AnalyticsRedisBridge.class", "Java", 0, 23, 0, 0, 0, 0, 23
"f:\Coding\studentmanagement\target\classes\com\sms\config\DemoDataLoader.class", "Java", 0, 118, 0, 0, 30, 0, 148
"f:\Coding\studentmanagement\target\classes\com\sms\config\JwtAuthenticationFilter.class", "Java", 0, 27, 0, 0, 0, 0, 27
"f:\Coding\studentmanagement\target\classes\com\sms\config\RedisAnalyticsConfig.class", "Java", 0, 68, 0, 0, 0, 1, 69
"f:\Coding\studentmanagement\target\classes\com\sms\config\SecurityConfig.class", "Java", 0, 22, 0, 0, 42, 0, 64
"f:\Coding\studentmanagement\target\classes\com\sms\config\WebSocketConfig.class", "Java", 0, 13, 0, 0, 0, 0, 13
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminApiController.class", "Java", 0, 121, 0, 0, 0, 2, 123
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminController.class", "Java", 0, 30, 0, 0, 0, 0, 30
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminProfileController.class", "Java", 0, 2, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminStudentProfileApiController.class", "Java", 0, 2, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminStudentProfilePageController.class", "Java", 0, 2, 0, 0, 0, 0, 2
