"filename", "language", "HTML", "JavaScript", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\resources\static\css\ai-insights.css", "PostCSS", 0, 0, 1, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\static\css\dashboard.css", "PostCSS", 0, 0, 50, 0, 8, 58
"f:\Coding\studentmanagement\src\main\resources\static\css\theme-system.css", "PostCSS", 0, 0, 47, 0, 5, 52
"f:\Coding\studentmanagement\src\main\resources\static\js\admin-students-saas.js", "JavaScript", 0, -1, 0, 0, 0, -1
"f:\Coding\studentmanagement\src\main\resources\static\js\ai-insights.js", "JavaScript", 0, 80, 0, 0, 3, 83
"f:\Coding\studentmanagement\src\main\resources\static\js\theme-manager.js", "JavaScript", 0, 76, 0, 0, 15, 91
"f:\Coding\studentmanagement\src\main\resources\templates\admin-profile.html", "HTML", 0, 0, 0, 0, 2, 2
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 42, 0, 0, 0, 5, 47
"f:\Coding\studentmanagement\src\main\resources\templates\student-profile.html", "HTML", 9, 0, 0, 0, 2, 11
"f:\Coding\studentmanagement\target\classes\static\css\ai-insights.css", "PostCSS", 0, 0, 1, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\static\css\dashboard.css", "PostCSS", 0, 0, 50, 0, 8, 58
"f:\Coding\studentmanagement\target\classes\static\css\theme-system.css", "PostCSS", 0, 0, 47, 0, 5, 52
"f:\Coding\studentmanagement\target\classes\static\js\admin-students-saas.js", "JavaScript", 0, -1, 0, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\static\js\ai-insights.js", "JavaScript", 0, 80, 0, 0, 3, 83
"f:\Coding\studentmanagement\target\classes\static\js\theme-manager.js", "JavaScript", 0, 76, 0, 0, 15, 91
"f:\Coding\studentmanagement\target\classes\templates\admin-profile.html", "HTML", 0, 0, 0, 0, 2, 2
"f:\Coding\studentmanagement\target\classes\templates\fragments\sidebar.html", "HTML", 42, 0, 0, 0, 5, 47
"f:\Coding\studentmanagement\target\classes\templates\student-profile.html", "HTML", 9, 0, 0, 0, 2, 11
"Total", "-", 102, 310, 196, 0, 80, 688
