"filename", "language", "HTML", "PostCSS", "JavaScript", "Java", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DietPlannerController.java", "Java", 0, 0, 0, 49, 0, 9, 58
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\diet\DailyCaloriePoint.java", "Java", 0, 0, 0, 6, 0, 2, 8
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\diet\DietLogBatchRequest.java", "Java", 0, 0, 0, 48, 0, 17, 65
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\diet\DietSuggestionResponse.java", "Java", 0, 0, 0, 15, 0, 3, 18
"f:\Coding\studentmanagement\src\main\java\com\sms\model\DietLog.java", "Java", 0, 0, 0, 68, 0, 23, 91
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\DietLogRepository.java", "Java", 0, 0, 0, 11, 0, 6, 17
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DietAIService.java", "Java", 0, 0, 0, 42, 0, 7, 49
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DietLogService.java", "Java", 0, 0, 0, 138, 0, 30, 168
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DietMLService.java", "Java", 0, 0, 0, 64, 0, 14, 78
"f:\Coding\studentmanagement\src\main\resources\static\css\cafeteria.css", "PostCSS", 0, 413, 0, 0, 0, 65, 478
"f:\Coding\studentmanagement\src\main\resources\static\js\cafeteria.js", "JavaScript", 0, 0, 327, 0, 0, 55, 382
"f:\Coding\studentmanagement\src\main\resources\templates\cafeteria.html", "HTML", 68, 0, 0, 0, 0, 6, 74
"f:\Coding\studentmanagement\src\main\resources\templates\student-id-card.html", "HTML", -10, 0, 0, 0, -5, -3, -18
"f:\Coding\studentmanagement\target\classes\com\sms\config\RedisAnalyticsConfig.class", "Java", 0, 0, 0, -1, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DietPlannerController.class", "Java", 0, 0, 0, 31, 0, 0, 31
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentAttendanceController.class", "Java", 0, 0, 0, -10, 0, 0, -10
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherAttendanceController.class", "Java", 0, 0, 0, -7, 0, -1, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\diet\DailyCaloriePoint.class", "Java", 0, 0, 0, 17, 0, 0, 17
"f:\Coding\studentmanagement\target\classes\com\sms\dto\diet\DietLogBatchRequest$MealEntry.class", "Java", 0, 0, 0, 10, 0, 0, 10
"f:\Coding\studentmanagement\target\classes\com\sms\dto\diet\DietLogBatchRequest.class", "Java", 0, 0, 0, 11, 0, 0, 11
"f:\Coding\studentmanagement\target\classes\com\sms\dto\diet\DietSuggestionResponse.class", "Java", 0, 0, 0, 24, 0, 0, 24
"f:\Coding\studentmanagement\target\classes\com\sms\model\DietLog.class", "Java", 0, 0, 0, 15, 0, 0, 15
"f:\Coding\studentmanagement\target\classes\com\sms\repository\DietLogRepository.class", "Java", 0, 0, 0, 6, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\service\AnalyticsRealtimeNotifier.class", "Java", 0, 0, 0, -1, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService$ManualAttendanceRecord.class", "Java", 0, 0, 0, -1, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService.class", "Java", 0, 0, 0, 6, 0, -1, 5
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietAIService.class", "Java", 0, 0, 0, 18, 0, 0, 18
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietLogService.class", "Java", 0, 0, 0, 84, 0, 0, 84
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietMLService$DietMLResult.class", "Java", 0, 0, 0, 8, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietMLService.class", "Java", 0, 0, 0, 27, 0, 0, 27
"f:\Coding\studentmanagement\target\classes\com\sms\service\StudentService.class", "Java", 0, 0, 0, -1, 0, 2, 1
"f:\Coding\studentmanagement\target\classes\static\css\cafeteria.css", "PostCSS", 0, 413, 0, 0, 0, 65, 478
"f:\Coding\studentmanagement\target\classes\static\js\cafeteria.js", "JavaScript", 0, 0, 327, 0, 0, 55, 382
"f:\Coding\studentmanagement\target\classes\templates\cafeteria.html", "HTML", 68, 0, 0, 0, 0, 6, 74
"f:\Coding\studentmanagement\target\classes\templates\student-id-card.html", "HTML", -10, 0, 0, 0, -5, -3, -18
"Total", "-", 116, 826, 654, 677, -10, 357, 2620
