"filename", "language", "Markdown", "pip requirements", "Python", "HTML", "JavaScript", "PostCSS", "Java", "Java Properties", "comment", "blank", "total"
"f:\Coding\studentmanagement\ml-api\README.md", "Markdown", 31, 0, 0, 0, 0, 0, 0, 0, 0, 14, 45
"f:\Coding\studentmanagement\ml-api\main.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 10, 33
"f:\Coding\studentmanagement\ml-api\requirements.txt", "pip requirements", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DietPlannerController.java", "Java", 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\DietLogRepository.java", "Java", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DietLogService.java", "Java", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1
"f:\Coding\studentmanagement\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"f:\Coding\studentmanagement\src\main\resources\static\css\cafeteria.css", "PostCSS", 0, 0, 0, 0, 0, 401, 0, 0, 1, 70, 472
"f:\Coding\studentmanagement\src\main\resources\static\css\smart-campus-ui.css", "PostCSS", 0, 0, 0, 0, 0, 211, 0, 0, 1, 29, 241
"f:\Coding\studentmanagement\src\main\resources\static\js\cafeteria.js", "JavaScript", 0, 0, 0, 0, 224, 0, 0, 0, 0, 27, 251
"f:\Coding\studentmanagement\src\main\resources\static\js\smart-campus-ui.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 12, 92
"f:\Coding\studentmanagement\src\main\resources\templates\cafeteria.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"f:\Coding\studentmanagement\target\classes\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DietPlannerController.class", "Java", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 23
"f:\Coding\studentmanagement\target\classes\com\sms\dto\diet\DailyCaloriePoint.class", "Java", 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\diet\DietSuggestionResponse.class", "Java", 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, -6
"f:\Coding\studentmanagement\target\classes\com\sms\repository\DietLogRepository.class", "Java", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietAIService.class", "Java", 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietLogService.class", "Java", 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, -3
"f:\Coding\studentmanagement\target\classes\static\css\cafeteria.css", "PostCSS", 0, 0, 0, 0, 0, 401, 0, 0, 1, 70, 472
"f:\Coding\studentmanagement\target\classes\static\css\smart-campus-ui.css", "PostCSS", 0, 0, 0, 0, 0, 211, 0, 0, 1, 29, 241
"f:\Coding\studentmanagement\target\classes\static\js\cafeteria.js", "JavaScript", 0, 0, 0, 0, 224, 0, 0, 0, 0, 27, 251
"f:\Coding\studentmanagement\target\classes\static\js\smart-campus-ui.js", "JavaScript", 0, 0, 0, 0, 80, 0, 0, 0, 0, 12, 92
"f:\Coding\studentmanagement\target\classes\templates\cafeteria.html", "HTML", 0, 0, 0, 46, 0, 0, 0, 0, 0, 1, 47
"f:\Coding\studentmanagement\target\classes\templates\fragments\sidebar.html", "HTML", 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"Total", "-", 31, 4, 23, 128, 608, 1224, 24, 2, 6, 313, 2363
