"filename", "language", "Java", "XML", "Docker", "pip requirements", "Markdown", "Python", "PowerShell", "Java Properties", "Batch", "Properties", "MS SQL", "HTML", "JavaScript", "JSON", "PostCSS", "comment", "blank", "total"
"f:\Coding\studentmanagement\Dockerfile", "Docker", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16
"f:\Coding\studentmanagement\Main.class", "Java", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74
"f:\Coding\studentmanagement\PWA_GEOLOCATION_IMPLEMENTATION.md", "Markdown", 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 90, 548
"f:\Coding\studentmanagement\apache-maven-3.9.6\bin\m2.conf", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 3, 11
"f:\Coding\studentmanagement\apache-maven-3.9.6\bin\mvn.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 41, 36, 203
"f:\Coding\studentmanagement\apache-maven-3.9.6\bin\mvnDebug.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 32, 7, 46
"f:\Coding\studentmanagement\apache-maven-3.9.6\conf\logging\simplelogger.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 17, 3, 31
"f:\Coding\studentmanagement\apache-maven-3.9.6\conf\settings.xml", "XML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 231, 13, 266
"f:\Coding\studentmanagement\apache-maven-3.9.6\conf\toolchains.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 4, 103
"f:\Coding\studentmanagement\ml-api\README.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 45
"f:\Coding\studentmanagement\ml-api\main.py", "Python", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"f:\Coding\studentmanagement\ml-api\requirements.txt", "pip requirements", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"f:\Coding\studentmanagement\out\com\sms\StudentManagementApplication.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\out\com\sms\gui\LoginFrame.class", "Java", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 90
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$1.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$2.class", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$3.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$4.class", "Java", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame$5.class", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\out\com\sms\gui\MainFrame.class", "Java", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 208
"f:\Coding\studentmanagement\out\com\sms\gui\StudentDialog.class", "Java", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 117
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme$1.class", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme$2.class", "Java", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme$3.class", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"f:\Coding\studentmanagement\out\com\sms\gui\UITheme.class", "Java", 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79
"f:\Coding\studentmanagement\out\model\Admin.class", "Java", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"f:\Coding\studentmanagement\out\model\Course.class", "Java", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\Coding\studentmanagement\out\model\Person.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\Coding\studentmanagement\out\model\Student.class", "Java", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"f:\Coding\studentmanagement\out\service\AuthenticationService.class", "Java", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"f:\Coding\studentmanagement\out\service\FileService.class", "Java", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"f:\Coding\studentmanagement\out\service\StudentService.class", "Java", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41
"f:\Coding\studentmanagement\out\util\CustomException.class", "Java", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"f:\Coding\studentmanagement\out\util\GradeUtil.class", "Java", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"f:\Coding\studentmanagement\out\util\InputValidator.class", "Java", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
