"filename", "language", "HTML", "JavaScript", "PostCSS", "Java", "comment", "blank", "total"
"f:\Coding\studentmanagement\src\main\java\com\sms\config\JwtAuthenticationFilter.java", "Java", 0, 0, 0, 11, 0, 1, 12
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\ApiAuthController.java", "Java", 0, 0, 0, 8, 0, 0, 8
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\CampusTrackingController.java", "Java", 0, 0, 0, 55, 0, 6, 61
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\PortalController.java", "Java", 0, 0, 0, 25, 0, 5, 30
"f:\Coding\studentmanagement\src\main\java\com\sms\dto\auth\LoginResponse.java", "Java", 0, 0, 0, 10, 0, 2, 12
"f:\Coding\studentmanagement\src\main\java\com\sms\service\JwtService.java", "Java", 0, 0, 0, 23, 0, 5, 28
"f:\Coding\studentmanagement\src\main\resources\static\css\ai-insights-flagship.css", "PostCSS", 0, 0, 65, 0, 0, 14, 79
"f:\Coding\studentmanagement\src\main\resources\static\css\profile-flagship.css", "PostCSS", 0, 0, 66, 0, 0, 14, 80
"f:\Coding\studentmanagement\src\main\resources\static\js\admin-students-saas.js", "JavaScript", 0, -8, 0, 0, 0, -4, -12
"f:\Coding\studentmanagement\src\main\resources\static\js\ai-insights.js", "JavaScript", 0, -9, 0, 0, 0, 0, -9
"f:\Coding\studentmanagement\src\main\resources\static\js\api-client.js", "JavaScript", 0, 183, 0, 0, 0, 33, 216
"f:\Coding\studentmanagement\src\main\resources\static\js\cafeteria.js", "JavaScript", 0, -17, 0, 0, 0, -2, -19
"f:\Coding\studentmanagement\src\main\resources\templates\ai-insights.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\templates\attendance-scanner.html", "HTML", -14, 0, 0, 0, 0, -1, -15
"f:\Coding\studentmanagement\src\main\resources\templates\campus-map.html", "HTML", 719, 0, 0, 0, 0, 108, 827
"f:\Coding\studentmanagement\src\main\resources\templates\fragments\sidebar.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\src\main\resources\templates\student-dashboard.html", "HTML", 22, 0, 0, 0, 0, 1, 23
"f:\Coding\studentmanagement\src\main\resources\templates\student-id-card.html", "HTML", -4, 0, 0, 0, 0, -1, -5
"f:\Coding\studentmanagement\src\main\resources\templates\student-profile.html", "HTML", -17, 0, 0, 0, 0, -2, -19
"f:\Coding\studentmanagement\src\main\resources\templates\student-timetable.html", "HTML", 61, 0, 0, 0, 0, 9, 70
"f:\Coding\studentmanagement\src\main\resources\templates\teacher-attendance.html", "HTML", -28, 0, 0, 0, 0, 0, -28
"f:\Coding\studentmanagement\src\main\resources\templates\teacher-dashboard.html", "HTML", -14, 0, 0, 0, 0, -4, -18
"f:\Coding\studentmanagement\target\classes\com\sms\config\JwtAuthenticationFilter.class", "Java", 0, 0, 0, 3, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiAuthController.class", "Java", 0, 0, 0, 13, 0, 0, 13
"f:\Coding\studentmanagement\target\classes\com\sms\controller\CampusTrackingController.class", "Java", 0, 0, 0, 43, 0, 0, 43
"f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class", "Java", 0, 0, 0, 27, 0, 0, 27
"f:\Coding\studentmanagement\target\classes\com\sms\dto\auth\LoginResponse.class", "Java", 0, 0, 0, 1, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\service\JwtService.class", "Java", 0, 0, 0, 31, 0, 0, 31
"f:\Coding\studentmanagement\target\classes\static\css\ai-insights-flagship.css", "PostCSS", 0, 0, 65, 0, 0, 14, 79
"f:\Coding\studentmanagement\target\classes\static\css\profile-flagship.css", "PostCSS", 0, 0, 66, 0, 0, 14, 80
"f:\Coding\studentmanagement\target\classes\static\js\admin-students-saas.js", "JavaScript", 0, -8, 0, 0, 0, -4, -12
"f:\Coding\studentmanagement\target\classes\static\js\ai-insights.js", "JavaScript", 0, -9, 0, 0, 0, 0, -9
"f:\Coding\studentmanagement\target\classes\static\js\api-client.js", "JavaScript", 0, 183, 0, 0, 0, 33, 216
"f:\Coding\studentmanagement\target\classes\static\js\cafeteria.js", "JavaScript", 0, -17, 0, 0, 0, -2, -19
"f:\Coding\studentmanagement\target\classes\templates\ai-insights.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\templates\attendance-scanner.html", "HTML", -14, 0, 0, 0, 0, -1, -15
"f:\Coding\studentmanagement\target\classes\templates\campus-map.html", "HTML", 719, 0, 0, 0, 0, 108, 827
"f:\Coding\studentmanagement\target\classes\templates\fragments\sidebar.html", "HTML", 1, 0, 0, 0, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\templates\student-dashboard.html", "HTML", 22, 0, 0, 0, 0, 1, 23
"f:\Coding\studentmanagement\target\classes\templates\student-id-card.html", "HTML", -4, 0, 0, 0, 0, -1, -5
"f:\Coding\studentmanagement\target\classes\templates\student-profile.html", "HTML", -17, 0, 0, 0, 0, -2, -19
"f:\Coding\studentmanagement\target\classes\templates\student-timetable.html", "HTML", 61, 0, 0, 0, 0, 9, 70
"f:\Coding\studentmanagement\target\classes\templates\teacher-attendance.html", "HTML", -28, 0, 0, 0, 0, 0, -28
"f:\Coding\studentmanagement\target\classes\templates\teacher-dashboard.html", "HTML", -14, 0, 0, 0, 0, -4, -18
"Total", "-", 1454, 298, 262, 250, 0, 349, 2613
