"filename", "language", "pip requirements", "Python", "Markdown", "HTML", "Java", "comment", "blank", "total"
"f:\Coding\studentmanagement\ml-api\README.md", "Markdown", 0, 0, 28, 0, 0, 0, 10, 38
"f:\Coding\studentmanagement\ml-api\main.py", "Python", 0, 97, 0, 0, 0, 0, 22, 119
"f:\Coding\studentmanagement\ml-api\requirements.txt", "pip requirements", 2, 0, 0, 0, 0, 0, 0, 2
"f:\Coding\studentmanagement\ml-api\train_model.py", "Python", 0, 80, 0, 0, 0, 0, 21, 101
"f:\Coding\studentmanagement\src\main\java\com\sms\controller\DashboardController.java", "Java", 0, 0, 0, 0, 6, 0, 0, 6
"f:\Coding\studentmanagement\src\main\java\com\sms\repository\ClassSessionRepository.java", "Java", 0, 0, 0, 0, 16, 0, 1, 17
"f:\Coding\studentmanagement\src\main\java\com\sms\service\DashboardService.java", "Java", 0, 0, 0, 0, 3, 0, 1, 4
"f:\Coding\studentmanagement\src\main\java\com\sms\service\NotificationService.java", "Java", 0, 0, 0, 0, 19, 0, 3, 22
"f:\Coding\studentmanagement\src\main\java\com\sms\service\TimetableNotificationScheduler.java", "Java", 0, 0, 0, 0, 22, 0, 2, 24
"f:\Coding\studentmanagement\src\main\resources\templates\student-timetable.html", "HTML", 0, 0, 0, 198, 0, 0, 23, 221
"f:\Coding\studentmanagement\target\classes\com\sms\config\JwtAuthenticationFilter.class", "Java", 0, 0, 0, 0, 1, 0, 0, 1
"f:\Coding\studentmanagement\target\classes\com\sms\controller\AdminApiController.class", "Java", 0, 0, 0, 0, 6, 0, 0, 6
"f:\Coding\studentmanagement\target\classes\com\sms\controller\ApiAuthController.class", "Java", 0, 0, 0, 0, 3, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\CampusTrackingController.class", "Java", 0, 0, 0, 0, 3, 0, 0, 3
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DashboardController.class", "Java", 0, 0, 0, 0, 8, 0, 0, 8
"f:\Coding\studentmanagement\target\classes\com\sms\controller\DietPlannerController.class", "Java", 0, 0, 0, 0, 8, 0, -2, 6
"f:\Coding\studentmanagement\target\classes\com\sms\controller\PortalController.class", "Java", 0, 0, 0, 0, -9, 0, 0, -9
"f:\Coding\studentmanagement\target\classes\com\sms\controller\StudentAttendanceController.class", "Java", 0, 0, 0, 0, 5, 0, -1, 4
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherApiController.class", "Java", 0, 0, 0, 0, -1, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\controller\TeacherAttendanceController.class", "Java", 0, 0, 0, 0, -7, 0, -1, -8
"f:\Coding\studentmanagement\target\classes\com\sms\dto\dashboard\TimetableUpdateRequest.class", "Java", 0, 0, 0, 0, -7, 0, 0, -7
"f:\Coding\studentmanagement\target\classes\com\sms\repository\ClassSessionRepository.class", "Java", 0, 0, 0, 0, 7, 0, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService$ManualAttendanceRecord.class", "Java", 0, 0, 0, 0, -1, 0, 0, -1
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService$WeightedAttendanceMetrics.class", "Java", 0, 0, 0, 0, -4, 0, 0, -4
"f:\Coding\studentmanagement\target\classes\com\sms\service\AttendanceService.class", "Java", 0, 0, 0, 0, 22, 0, -3, 19
"f:\Coding\studentmanagement\target\classes\com\sms\service\DashboardService.class", "Java", 0, 0, 0, 0, -9, 0, 0, -9
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietLogService.class", "Java", 0, 0, 0, 0, -8, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\service\DietMealOptimizerService.class", "Java", 0, 0, 0, 0, -8, 0, 0, -8
"f:\Coding\studentmanagement\target\classes\com\sms\service\JwtService.class", "Java", 0, 0, 0, 0, -4, 0, 0, -4
"f:\Coding\studentmanagement\target\classes\com\sms\service\NotificationService.class", "Java", 0, 0, 0, 0, 6, 1, 0, 7
"f:\Coding\studentmanagement\target\classes\com\sms\service\TimetableNotificationScheduler.class", "Java", 0, 0, 0, 0, 20, 0, 0, 20
"f:\Coding\studentmanagement\target\classes\templates\student-timetable.html", "HTML", 0, 0, 0, 198, 0, 0, 23, 221
"Total", "-", 2, 177, 28, 396, 97, 1, 99, 800
