Row,Error
Existing student skipped | cluster=E25ECEU0010
Existing student skipped | cluster=E25ECEU0011
Existing student skipped | cluster=E25ECEU0012
Existing student skipped | cluster=E25ECEU0013
Existing student skipped | cluster=E25ECEU0014
Existing student skipped | cluster=E25ECEU0015
Existing student skipped | cluster=E25ECEU0016
Existing student skipped | cluster=E25ECEU0017
Existing student skipped | cluster=E25ECEU0018
Existing student skipped | cluster=E25ECEU0019
Existing student skipped | cluster=E25ECEU0020
Existing student skipped | cluster=E25ECEU0021
Existing student skipped | cluster=E25ECEU0022
Existing student skipped | cluster=E25ECEU0023
Existing student skipped | cluster=E25ECEU0024
Existing student skipped | cluster=E25ECEU0026
Existing student skipped | cluster=E25ECEU0027
Existing student skipped | cluster=E25ECEU0028
Existing student skipped | cluster=E25ECEU0029
Existing student skipped | cluster=E25ECEU0030
Existing student skipped | cluster=E25ECEU0031
Existing student skipped | cluster=E25ECEU0032
Existing student skipped | cluster=E25ECEU0033
Existing student skipped | cluster=E25ECEU0034
Existing student skipped | cluster=E25ECEU0035
Existing student skipped | cluster=E25EECU0001
Existing student skipped | cluster=E25EECU0002
Existing student skipped | cluster=E25EECU0003
Existing student skipped | cluster=E25EECU0004
Existing student skipped | cluster=E25EECU0005
Existing student skipped | cluster=E25EECU0006
Existing student skipped | cluster=E25EECU0007
Existing student skipped | cluster=E25EECU0008
Existing student skipped | cluster=E25EECU0009
Existing student skipped | cluster=E25EECU0010
Existing student skipped | cluster=E25EECU0011
Existing student skipped | cluster=E25EPYU0001
Existing student skipped | cluster=E25EPYU0002
Existing student skipped | cluster=E25EPYU0003
Existing student skipped | cluster=E25EPYU0004
Existing student skipped | cluster=E25EPYU0006
Existing student skipped | cluster=E25EPYU0007
Existing student skipped | cluster=E25EPYU0008
Existing student skipped | cluster=E25EPYU0009
Existing student skipped | cluster=E25MECU0001
Existing student skipped | cluster=E25MECU0002
Existing student skipped | cluster=E25MECU0003
Existing student skipped | cluster=E25MECU0004
Existing student skipped | cluster=E25MECU0005
Existing student skipped | cluster=E25MECU0006
Existing student skipped | cluster=E25MECU0007
Existing student skipped | cluster=E25MECU0008
Existing student skipped | cluster=E25MECU0009
Existing student skipped | cluster=E25MECU0010
Existing student skipped | cluster=E25MECU0011
Existing student skipped | cluster=E25MECU0012
Existing student skipped | cluster=E25MECU0013
Existing student skipped | cluster=E25MECU0014
Existing student skipped | cluster=E25MECU0015
Existing student skipped | cluster=E25MECU0016
Existing student skipped | cluster=E25MECU0017
Existing student skipped | cluster=E25MECU0018
Existing student skipped | cluster=E25SOEP0001
Existing student skipped | cluster=E25SOEP0002
Existing student skipped | cluster=E25SOEP0003
Existing student skipped | cluster=E25SOEP0004
Existing student skipped | cluster=E25SOEP0005
Existing student skipped | cluster=E25SOEP0006
Existing student skipped | cluster=E25SOEP0007
Existing student skipped | cluster=E25SOEP0008
Existing student skipped | cluster=E25SOEP0009
Existing student skipped | cluster=E25SOEP0010
Existing student skipped | cluster=H25BLAGP0001
Existing student skipped | cluster=H25BLAU0001
Existing student skipped | cluster=H25BLAU0002
Existing student skipped | cluster=H25BLAU0003
Existing student skipped | cluster=H25BLAU0004
Existing student skipped | cluster=H25BLAU0005
Existing student skipped | cluster=H25BLAU0006
Existing student skipped | cluster=H25BLAU0007
Existing student skipped | cluster=H25BLAU0008
Existing student skipped | cluster=H25BLAU0009
Existing student skipped | cluster=H25BLAU0010
Existing student skipped | cluster=H25BLAU0011
Existing student skipped | cluster=H25BLAU0012
Existing student skipped | cluster=H25BLAU0013
Existing student skipped | cluster=H25BLAU0014
Existing student skipped | cluster=H25BLAU0015
Existing student skipped | cluster=H25BLAU0016
Existing student skipped | cluster=H25BLAU0017
Existing student skipped | cluster=H25BLAU0018
Existing student skipped | cluster=H25BLAU0019
Existing student skipped | cluster=H25BLAU0020
Existing student skipped | cluster=H25BLAU0021
Existing student skipped | cluster=H25BLAU0022
could not execute statement [Duplicate entry 'H25BLAU0023' for key 'app_user.UK_3k4cplvh82srueuttfkwnylq0'] [insert into app_user (password;role;tenant_id;username) values (?;?;?;?)]; SQL [insert into app_user (password;role;tenant_id;username) values (?;?;?;?)]; constraint [app_user.UK_3k4cplvh82srueuttfkwnylq0] | cluster=H25BLAU0023
